method_id,column_name,column_length_mm,column_id_mm,particle_um,column_temperature_c,sample_temperature_c,run_time_min,gradient_knot_count,phase_A_water_fraction,phase_A_meoh_fraction,phase_A_acn_fraction,phase_A_formic_acid_percent,phase_A_ammonium_formate_mm,phase_A_ammonium_acetate_mm,phase_B_water_fraction,phase_B_meoh_fraction,phase_B_acn_fraction,phase_B_formic_acid_percent,phase_B_ammonium_formate_mm,phase_B_ammonium_acetate_mm,knot_0_time_min,knot_0_flow_ml_min,knot_0_percent_b,knot_0_water_fraction,knot_0_meoh_fraction,knot_0_acn_fraction,knot_1_time_min,knot_1_flow_ml_min,knot_1_percent_b,knot_1_water_fraction,knot_1_meoh_fraction,knot_1_acn_fraction,knot_2_time_min,knot_2_flow_ml_min,knot_2_percent_b,knot_2_water_fraction,knot_2_meoh_fraction,knot_2_acn_fraction,knot_3_time_min,knot_3_flow_ml_min,knot_3_percent_b,knot_3_water_fraction,knot_3_meoh_fraction,knot_3_acn_fraction,knot_4_time_min,knot_4_flow_ml_min,knot_4_percent_b,knot_4_water_fraction,knot_4_meoh_fraction,knot_4_acn_fraction,knot_5_time_min,knot_5_flow_ml_min,knot_5_percent_b,knot_5_water_fraction,knot_5_meoh_fraction,knot_5_acn_fraction,knot_6_time_min,knot_6_flow_ml_min,knot_6_percent_b,knot_6_water_fraction,knot_6_meoh_fraction,knot_6_acn_fraction,source_file,column_dimensions_raw,mobile_phase_a_raw,mobile_phase_b_raw
M21,Thermo Hypersil GOLD,100,2.1,1.9,30,10,21,7,1,0,0,0.1,0,0,0,0,1,0.1,0,0,0,0.2,1,0.99,0,0.01,1,0.2,1,0.99,0,0.01,3,0.2,39,0.61,0,0.39,14,0.4,99,0.01,0,0.99,16,0.48,99,0.01,0,0.99,16.1,0.2,1,0.99,0,0.01,21,0.2,1,0.99,0,0.01,Dataset 21.xlsx,"100x2.1 mm, 1.9 μm",Water with 0.1% formic acid,Acetonitrile with 0.1% formic acid
M22,ACQUITY PRIMER HSS T3 with VanGuard,100,2.1,1.8,30,10,45,7,1,0,0,0.1,0,0,0,0,1,0.1,0,0,0,0.2,5,0.95,0,0.05,2,0.2,5,0.95,0,0.05,10,0.2,40,0.6,0,0.4,35,0.2,100,0,0,1,39,0.2,100,0,0,1,40,0.2,5,0.95,0,0.05,45,0.2,5,0.95,0,0.05,Dataset 22.xlsx,"100 x 2.1 mm, 1.8 μm",Water with 0.1% formic acid,Acetonitrile with 0.1% formic acid
M23,ACQUITY UPLC HSS T3,50,2.1,1.8,30,10,45,7,1,0,0,0.1,0,0,0,0,1,0.1,0,0,0,0.2,5,0.95,0,0.05,2,0.2,5,0.95,0,0.05,10,0.2,40,0.6,0,0.4,35,0.2,100,0,0,1,39,0.2,100,0,0,1,40,0.2,5,0.95,0,0.05,45,0.2,5,0.95,0,0.05,Dataset 23.xlsx,"2.1 x 50 mm,1.8 μm",Water with 0.1% formic acid,Acetonitrile with 0.1% formic acid
M24,Acclaim 120 C18,150,4.6,5,30,4,45,7,1,0,0,0.1,0,0,0,0,1,0.1,0,0,0,1,5,0.95,0,0.05,2,1,5,0.95,0,0.05,10,1,40,0.6,0,0.4,35,1,100,0,0,1,39,1,100,0,0,1,40,1,5,0.95,0,0.05,45,1,5,0.95,0,0.05,Dataset 24.xlsx,"4.6 x 150 mm, 5 μm",Water with 0.1% formic acid,Acetonitrile with 0.1% formic acid
M25,ACQUITY PRIMER HSS T3 with VanGuard,100,2.1,1.8,30,10,20,7,1,0,0,0,0,5,0,1,0,0,0,5,0,0.2,5,0.95,0.05,0,1,0.2,5,0.95,0.05,0,7,0.2,40,0.6,0.4,0,14,0.2,100,0,1,0,18,0.2,100,0,1,0,18.1,0.2,5,0.95,0.05,0,20,0.2,5,0.95,0.05,0,Dataset 25.xlsx,"100 x 2.1 mm, 1.8 μm",Water with 5 mM ammonium acetate,Methanol with 5 mM ammonium acetate
M26,ACQUITY UPLC HSS T3,50,2.1,1.8,30,10,20,7,1,0,0,0,0,5,0,1,0,0,0,5,0,0.2,5,0.95,0.05,0,1,0.2,5,0.95,0.05,0,7,0.2,40,0.6,0.4,0,14,0.2,100,0,1,0,18,0.2,100,0,1,0,18.1,0.2,5,0.95,0.05,0,20,0.2,5,0.95,0.05,0,Dataset 26.xlsx,"2.1 x 50 mm,1.8 μm",Water with 5 mM ammonium acetate,Methanol with 5 mM ammonium acetate
M27,ACQUITY PRIMER HSS T3 with VanGuard,100,2.1,1.8,30,10,30,7,1,0,0,0,0,5,0,1,0,0,0,5,0,0.2,5,0.95,0.05,0,2,0.2,5,0.95,0.05,0,6,0.2,40,0.6,0.4,0,20,0.2,100,0,1,0,25,0.2,100,0,1,0,26,0.2,5,0.95,0.05,0,30,0.2,5,0.95,0.05,0,Dataset 27.xlsx,"100 x 2.1 mm, 1.8 μm",Water with 5 mM ammonium acetate,Methanol with 5 mM ammonium acetate
M28,ACQUITY UPLC HSS T3,50,2.1,1.8,30,10,30,7,1,0,0,0,0,5,0,1,0,0,0,5,0,0.2,5,0.95,0.05,0,2,0.2,5,0.95,0.05,0,6,0.2,40,0.6,0.4,0,20,0.2,100,0,1,0,25,0.2,100,0,1,0,26,0.2,5,0.95,0.05,0,30,0.2,5,0.95,0.05,0,Dataset 28.xlsx,"2.1 x 50 mm,1.8 μm",Water with 5 mM ammonium acetate,Methanol with 5 mM ammonium acetate
M29,Acclaim 120 C18,150,4.6,5,30,4,30,7,1,0,0,0,0,5,0,1,0,0,0,5,0,1,5,0.95,0.05,0,2,1,5,0.95,0.05,0,6,1,40,0.6,0.4,0,20,1,100,0,1,0,25,1,100,0,1,0,26,1,5,0.95,0.05,0,30,1,5,0.95,0.05,0,Dataset 29.xlsx,"4.6 x 150 mm, 5 μm",Water with 5 mM ammonium acetate,Methanol with 5 mM ammonium acetate
M30,Acclaim RSLC 120 C18,100,2.1,2.2,30,10,21,7,0.9,0.1,0,0,5,0,0,1,0,0,5,0,0,0.2,1,0.891,0.109,0,1,0.2,1,0.891,0.109,0,3,0.2,39,0.549,0.451,0,14,0.4,99,0.009,0.991,0,16,0.48,99,0.009,0.991,0,16.1,0.2,1,0.891,0.109,0,21,0.2,1,0.891,0.109,0,Dataset 30.xlsx,"100 x 2.1 mm, 2.2 μm","Water/methanol=90:10, v/v with 5 mM ammonium formate",Methanol with 5 mM ammonium formate
