compound_id,method_id,rt_min,rsd_source,retention_factor_source,source_file,source_row
158,M10,23.59,0.0004,16.47,Dataset 10.xlsx,151
158,M11,22.87,0.0006,16.26,Dataset 11.xlsx,151
158,M12,32.47,0.0007,33.47,Dataset 12.xlsx,151
158,M13,33.88,0.0005,25.68,Dataset 13.xlsx,151
158,M14,30.62,0.0002,39.83,Dataset 14.xlsx,151
158,M15,34.33,0.0006,20.45,Dataset 15.xlsx,151
158,M16,63,0.0002,49.4,Dataset 16.xlsx,151
158,M17,8.59,0.0011,8.34,Dataset 17.xlsx,151
158,M18,12.06,0.0006,7.38,Dataset 18.xlsx,151
158,M19,11.55,0.0013,7.46,Dataset 19.xlsx,151
158,M20,13.52,0.0005,20.62,Dataset 20.xlsx,150
158,M21,10.65,0.0007,6.55,Dataset 21.xlsx,150
158,M22,27.95,0.0002,22.1,Dataset 22.xlsx,150
158,M23,24.2,0,31.27,Dataset 23.xlsx,150
158,M24,28.58,0.0006,17.32,Dataset 24.xlsx,150
158,M25,15.81,0.0005,11.16,Dataset 25.xlsx,159
158,M26,14.55,0.0004,17.65,Dataset 26.xlsx,159
158,M27,19.79,0.0011,14.34,Dataset 27.xlsx,159
158,M28,18.1,0.0005,22.21,Dataset 28.xlsx,159
158,M29,19.97,0.0018,10.96,Dataset 29.xlsx,159
158,M30,12.74,0.0027,8.44,Dataset 30.xlsx,159
159,M01,5.16,0.0041,3.06,Dataset 01.xlsx,152
159,M02,6.25,0.0026,5.83,Dataset 02.xlsx,152
159,M03,5.25,0.001,2.87,Dataset 03.xlsx,152
159,M04,5.04,0.0019,2.64,Dataset 04.xlsx,152
159,M05,4.89,0.0014,2.73,Dataset 05.xlsx,152
159,M06,6.71,0,3.79,Dataset 06.xlsx,152
159,M07,6.78,0.0021,3.95,Dataset 07.xlsx,152
159,M08,9.04,0.0007,8.93,Dataset 08.xlsx,152
159,M09,7.99,0.0016,7.57,Dataset 09.xlsx,152
159,M10,10.48,0.0006,6.76,Dataset 10.xlsx,152
159,M11,9.55,0,6.21,Dataset 11.xlsx,152
159,M12,11.15,0.0009,10.83,Dataset 12.xlsx,152
159,M13,12.88,0,9.14,Dataset 13.xlsx,152
159,M14,10.86,0.0009,13.48,Dataset 14.xlsx,152
159,M15,12.73,0.0017,6.96,Dataset 15.xlsx,152
159,M16,26.84,0.0006,20.47,Dataset 16.xlsx,152
159,M17,3.28,0.003,2.57,Dataset 17.xlsx,152
159,M18,5.38,0.0013,2.73,Dataset 18.xlsx,152
159,M19,4.59,0,2.36,Dataset 19.xlsx,152
159,M20,5.68,0.0013,8.08,Dataset 20.xlsx,151
159,M21,4.56,0.0016,2.23,Dataset 21.xlsx,151
159,M22,8.58,0.0011,6.09,Dataset 22.xlsx,151
159,M23,7.12,0.001,8.49,Dataset 23.xlsx,151
159,M24,8.05,0.0024,4.16,Dataset 24.xlsx,151
159,M25,12.43,0.0008,8.56,Dataset 25.xlsx,160
159,M26,10.98,0.0007,13.08,Dataset 26.xlsx,160
159,M27,12.95,0.0008,9.04,Dataset 27.xlsx,160
159,M28,10.91,0.0008,12.99,Dataset 28.xlsx,160
159,M29,12.93,0.0011,6.74,Dataset 29.xlsx,160
159,M30,7.82,0.0011,4.79,Dataset 30.xlsx,160
160,M01,4.87,0.0029,2.83,Dataset 01.xlsx,153
160,M02,6.15,0.0027,5.72,Dataset 02.xlsx,153
160,M03,5.16,0.0008,2.8,Dataset 03.xlsx,153
160,M04,4.94,0.001,2.57,Dataset 04.xlsx,153
160,M05,4.8,0,2.66,Dataset 05.xlsx,153
160,M06,6.58,0.0021,3.7,Dataset 06.xlsx,153
160,M07,6.67,0.0021,3.86,Dataset 07.xlsx,153
160,M08,8.81,0.0008,8.68,Dataset 08.xlsx,153
160,M09,7.65,0.0013,7.21,Dataset 09.xlsx,153
160,M10,10.24,0.0005,6.59,Dataset 10.xlsx,153
160,M11,9.26,0.0015,5.99,Dataset 11.xlsx,153
160,M12,10.82,0.0015,10.49,Dataset 12.xlsx,153
